#SampleID,mean,std
g__Aggregatibacter,0.00054367684,0.0049232338
g__Aggregicoccus,5.8660953e-07,2.9442752e-05
g__Agitococcus,6.2310948e-09,1.356505e-06
g__Aglantha,1.7750187e-07,8.8618195e-05
g__Aglaophamus,2.1949714e-07,6.0103772e-05
g__Aglaophenia,3.733391e-09,1.2799959e-06
g__Aglaothamnion,7.6344175e-09,3.6358929e-06
g__Aglenchus,7.601834e-09,2.5323652e-06
g__Agnathodysteria,7.769514e-08,1.384729e-05
g__Agolohymena,1.6793183e-07,3.47389e-05
g__Agreia,1.5425582e-06,0.00010041033
g__Agrobacterium,5.79172e-06,0.00038128896
g__Agrococcus,8.570078e-06,0.0004374865
g__Agromyces,9.981554e-05,0.0016789522
g__Agrostis,2.050713e-09,1.0522815e-06
g__Ahnfeltia,7.1675385e-07,5.5851695e-05
g__Ahrensia,7.6456396e-05,0.0028887615
g__Aidanosagitta,1.1288016e-05,0.0010979713
g__Aidingimonas,2.4196593e-08,3.1737939e-06
g__Aigialus,8.356144e-08,1.0132191e-05
g__Ailadinium,9.17081e-09,3.2523237e-06
g__Aka,5.481232e-07,8.714769e-05
g__Akashiwo,0.00014046386,0.001959191
g__Akera,4.6372656e-10,2.3795182e-07
g__Akkermansia,0.011342817,0.05904673
g__Alabidocarpus,5.358996e-10,2.7498595e-07
g__Alaimella,2.2334939e-07,7.550286e-05
g__Alaimus,3.3944147e-07,5.0509792e-05
g__Alasmidonta,2.990922e-08,8.418747e-06
g__Alatina,1.844546e-09,9.464912e-07
g__Alatospora,1.1599329e-07,1.6865379e-05
g__Albibacter,2.7128002e-09,1.392018e-06
g__Albidovulum,0.00041403426,0.014030114
g__Albileberis,5.584355e-10,2.865498e-07
g__Albimonas,2.938559e-05,0.0021372316
g__Albirhodobacter,1.4770982e-06,0.00015548844
g__Albugo,3.6740968e-07,0.00011386947
g__Albunea,1.5605219e-09,8.0075e-07
g__Alcaligenes,0.00020275616,0.010603172
g__Alcanivorax,0.0012143009,0.015139329
g__Alciopina,1.6275494e-06,0.00015301126
g__Alcyonidioides,2.2105415e-07,3.3000273e-05
g__Alcyonidium,6.12774e-08,1.0779032e-05
g__Alcyonosyllis,1.0910429e-09,5.598464e-07
g__Alentia,1.245988e-08,3.000608e-06
g__Aleuria,1.7664746e-08,9.064303e-06
g__Alexandrium,0.0003462487,0.009772973
g__Algibacter,1.3122307e-05,0.00056382053
g__Algicola,1.5395526e-05,0.00069514924
g__Algidimarina,9.041842e-08,6.61301e-06
g__Algimonas,4.0907962e-05,0.0012287818
g__Algiphilus,9.760278e-06,0.00038762996
g__Algirosphaera,1.3173344e-07,1.8898905e-05
g__Algisphaera,6.873083e-05,0.0036222495
g__Algitalea,0.00024663663,0.0068143792
g__Algivirga,4.085569e-07,2.2327114e-05
g__Algoriella,1.3942378e-06,0.0002197615
g__Algorimarina,5.9815044e-08,6.139005e-06
g__Algoriphagus,0.00040837974,0.007032377
g__Aliagarivorans,4.9978587e-07,4.4672226e-05
g__Aliatypus,2.4434055e-09,7.7404496e-07
g__Alicorhagia,1.5763793e-07,2.8635992e-05
g__Alicycliphilus,1.1741705e-05,0.00020835496
g__Alicyclobacillus,4.311002e-05,0.0019514885
g__Aliicoccus,3.398448e-05,0.00208073
g__Aliidiomarina,1.093389e-05,0.00075481803
g__Aliidongia,9.09246e-06,0.00037970458
g__Aliifodinibius,2.1093297e-06,0.00020252747
g__Aliiglaciecola,6.0655522e-05,0.0011625636
g__Aliihoeflea,5.1712404e-06,0.00052711036
g__Aliikangiella,5.1725387e-05,0.0012751318
g__Aliiroseovarius,3.9846855e-05,0.002137156
g__Aliivibrio,0.00013811886,0.0058075436
g__Aliolimnatis,6.1146316e-10,3.1375987e-07
g__Aliquandostipite,9.0664126e-10,4.6522447e-07
g__Alisedimentitalea,6.4645276e-09,1.1377925e-06
g__Alishewanella,8.485361e-06,0.0009031554
g__Alisma,9.304067e-10,4.7741923e-07
g__Alistipes,0.016439615,0.054864902
g__Aliterella,5.716177e-07,5.7321507e-05
g__Alitta,1.647649e-06,0.00022472852
g__Alkalibacillus,1.0638443e-07,3.7207392e-05
g__Alkalibacter,5.5476004e-05,0.0042365748
g__Alkalibacterium,2.3817458e-05,0.0007056432
g__Alkalibaculum,2.6059251e-07,4.7136004e-05
g__Alkalicoccus,6.1323693e-09,1.2551021e-06
g__Alkaliflexus,4.9835144e-06,0.00038429475
g__Alkalilactibacillus,2.1315734e-09,6.341072e-07
g__Alkalilimnicola,2.690771e-08,4.3271066e-06
g__Alkalimarinus,5.3296768e-05,0.001934653
g__Alkalimonas,9.685062e-07,0.00014112014
g__Alkalinema,2.2242392e-07,2.8378057e-05
g__Alkaliphilus,8.5175416e-05,0.0026316643
g__Alkalispirillum,1.2500861e-08,2.612458e-06
g__Alkalispirochaeta,8.350091e-06,0.00043631485
g__Alkalitalea,2.4421164e-08,4.4021003e-06
g__Alkanibacter,1.0000909e-05,0.00060690334
g__Alkanindiges,0.00014207978,0.0037232516
g__Allantion,8.108027e-06,0.00024483516
g__Allapsa,3.1428237e-07,4.9986418e-05
g__Allas,1.3632865e-05,0.00040660688
g__Allisonella,0.000100554666,0.0015266276
g__Allium,4.3215823e-05,0.0039654663
g__Alloascoidea,2.6092936e-08,8.222334e-06
g__Allobacillus,4.561317e-07,9.419857e-05
g__Allobaculum,0.00033184857,0.009287932
g__Allocatelliglobosispora,4.0897544e-06,0.00015941163
g__Allochromatium,1.8548715e-06,0.00024102528
g__Allodekkera,7.863189e-09,4.034835e-06
g__Allodessus,1.11703535e-07,5.7318393e-05
g__Allofrancisella,6.71431e-08,1.5127369e-05
g__Allofustis,4.4851527e-07,5.8016343e-05
g__Allohahella,3.2438493e-07,3.9751558e-05
g__Allohumibacter,1.1284395e-08,3.7062327e-06
g__Alloiococcus,0.00045756134,0.017562233
g__Alloionema,7.516159e-09,3.236098e-06
g__Allokutzneria,2.440627e-07,1.4898708e-05
g__Allomachilis,6.784423e-10,3.4812885e-07
g__Allomonas,3.3867078e-08,5.56158e-06
g__Allomyces,8.7854805e-06,0.0019831387
g__Allonocardiopsis,7.5406575e-08,8.137739e-06
g__Allopauropus,2.9054416e-08,8.316508e-06
g__Alloprevotella,0.006225763,0.032666054
g__Alloptes,8.080681e-10,4.1464367e-07
g__Allosalinactinospora,4.5357414e-08,9.038382e-06
g__Alloscardovia,3.9144406e-06,0.00025387187
g__Allostoma,1.1345787e-07,2.4449086e-05
g__Allostreptomyces,5.5886424e-08,5.035862e-06
g__Alloteropsis,1.5604575e-08,3.568098e-06
g__Allothyrus,2.1538533e-08,6.3253597e-06
g__Allovahlkampfia,3.3986569e-06,0.00035040147
g__Alonopsis,3.9891383e-08,1.210562e-05
g__Alpheopsis,9.310656e-09,2.5002118e-06
g__Alpheus,4.127449e-06,0.00079228706
g__Alpinimonas,1.4686941e-07,1.3322336e-05
g__Alsobacter,1.5984319e-06,0.000112770096
g__Altererythrobacter,0.00082214235,0.00482875
g__Alteribacillus,2.558983e-07,0.00012992423
g__Alternaria,1.4451356e-06,0.00020064387
g__Alterococcus,5.3615822e-05,0.0015112649
g__Alteromonas,0.000514392,0.008769215
g__Alteuthellopsis,1.3817545e-08,3.8855133e-06
g__Altibacter,6.8943e-07,5.9217116e-05
g__Alvinactis,7.949486e-08,1.5757376e-05
g__Alysiella,6.751636e-05,0.0025763016
g__Amakusaplana,1.10749e-08,2.5799e-06
g__Amanita,1.5854901e-07,1.3876408e-05
g__Amantichitinum,2.9040697e-07,6.0189035e-05
g__Amaricoccus,7.8131896e-05,0.0009916659
g__Amastigomonas,4.8260812e-05,0.002605075
g__Amathia,2.5607118e-05,0.0015406911
g__Amaurascopsis,9.338382e-10,4.7918e-07
g__Amaurochaete,1.1594326e-08,3.3228832e-06
g__Ambidexter,5.2814077e-08,1.4448497e-05
g__Ambispora,2.2777924e-07,5.0509523e-05
g__Amblyospora,5.290354e-09,1.2958818e-06
g__Amblyosyllis,2.5357282e-08,1.1296228e-05
g__Ambomucor,2.5536536e-07,0.0001299233
g__Amborella,1.2852803e-08,4.248864e-06
g__Ambrosia,3.5728147e-09,7.7053073e-07
g__Ambrosiella,2.0703925e-07,7.024082e-05
g__Ambrosiozyma,1.3361741e-08,3.3069152e-06
g__Ameira,9.868137e-06,0.0020050828
g__Americamysis,3.727444e-09,8.4770767e-07
g__Ameyamaea,2.8236973e-09,6.7409394e-07
g__Aminicella,9.9263024e-09,1.7697256e-06
g__Aminiphilus,6.168343e-07,5.077792e-05
g__Aminivibrio,7.326376e-06,0.00028863945
g__Aminobacter,2.1929357e-06,0.0001207503
g__Aminobacterium,7.930981e-05,0.0057658595
g__Aminomonas,1.0173018e-06,8.127487e-05
g__Ammonia,3.1764105e-06,0.0013044889
g__Ammonifex,7.139733e-09,1.7651197e-06
g__Ammoniibacillus,3.887745e-06,0.000110244786
